Sample,F1,F2,F3,Ax,Ay,Az
1,1.0,2.0,3.0,0.01,-0.51,-1.01
2,1.0,2.0,3.0,0.0,-0.51,-1.02
3,1.0,2.0,3.0,-0.01,-0.51,-1.02
4,1.0,2.0,3.0,0.0,-0.52,-1.03
5,1.0,2.0,3.0,-0.0,-0.52,-1.02
6,1.0,2.0,3.0,-0.0,-0.51,-1.02
7,1.0,2.0,3.0,-0.01,-0.52,-1.02
8,1.0,2.0,3.0,0.0,-0.52,-1.02
9,1.0,2.0,3.0,-0.0,-0.51,-1.02
10,1.0,2.0,3.0,0.01,-0.52,-1.02
11,1.0,2.0,3.0,0.0,-0.52,-1.03
12,1.0,2.0,3.0,0.0,-0.51,-1.02
13,1.0,2.0,3.0,-0.01,-0.51,-1.03
14,1.0,2.0,3.0,0.0,-0.51,-1.01
15,1.0,2.0,3.0,-0.0,-0.52,-1.01
16,1.0,2.0,3.0,0.0,-0.52,-1.03
17,1.0,2.0,3.0,-0.0,-0.52,-1.0
18,1.0,2.0,3.0,-0.0,-0.51,-1.03
19,1.0,2.0,3.0,-0.0,-0.51,-1.02
20,1.0,2.0,3.0,-0.0,-0.52,-1.04
21,1.0,2.0,3.0,0.0,-0.51,-1.01
22,1.0,2.0,3.0,0.0,-0.52,-1.03
23,1.0,2.0,3.0,-0.0,-0.52,-1.02
24,1.0,2.0,3.0,-0.0,-0.52,-1.01
25,1.0,2.0,3.0,-0.0,-0.51,-1.02
26,1.0,2.0,3.0,0.0,-0.52,-1.03
27,1.0,2.0,3.0,-0.0,-0.51,-1.02
28,1.0,2.0,3.0,-0.0,-0.51,-1.03
29,1.0,2.0,3.0,-0.0,-0.52,-1.02
30,1.0,2.0,3.0,0.0,-0.52,-1.02
31,1.0,2.0,3.0,0.0,-0.52,-1.03
32,1.0,2.0,3.0,0.0,-0.52,-1.02
33,1.0,2.0,3.0,-0.0,-0.51,-1.02
34,1.0,2.0,3.0,-0.01,-0.52,-1.03
35,1.0,2.0,3.0,-0.0,-0.52,-1.02
36,1.0,2.0,3.0,-0.01,-0.51,-1.02
37,1.0,2.0,3.0,-0.0,-0.51,-1.02
38,1.0,2.0,3.0,0.0,-0.51,-1.03
39,1.0,2.0,3.0,-0.0,-0.51,-1.02
40,1.0,2.0,3.0,0.0,-0.52,-1.02
41,1.0,2.0,3.0,0.01,-0.52,-1.03
42,1.0,2.0,3.0,0.0,-0.52,-1.02
43,1.0,2.0,3.0,-0.01,-0.51,-1.01
44,1.0,2.0,3.0,0.0,-0.52,-1.02
45,1.0,2.0,3.0,-0.0,-0.51,-1.03
46,1.0,2.0,3.0,-0.0,-0.52,-1.02
47,1.0,2.0,3.0,0.0,-0.52,-1.03
48,1.0,2.0,3.0,-0.01,-0.51,-1.02
49,1.0,2.0,3.0,0.0,-0.51,-1.02
50,1.0,2.0,3.0,0.0,-0.52,-1.02
51,1.0,2.0,3.0,-0.0,-0.51,-1.02
52,1.0,2.0,3.0,-0.0,-0.52,-1.02
53,1.0,2.0,3.0,-0.0,-0.52,-1.03
54,1.0,2.0,3.0,-0.0,-0.52,-1.03
55,1.0,2.0,3.0,0.0,-0.52,-1.01
56,1.0,2.0,3.0,0.0,-0.51,-1.04
57,1.0,2.0,3.0,0.0,-0.52,-1.02
58,1.0,2.0,3.0,-0.0,-0.52,-1.02
59,1.0,2.0,3.0,0.0,-0.52,-1.02
60,1.0,2.0,3.0,0.0,-0.52,-1.02
61,1.0,2.0,3.0,-0.0,-0.51,-1.01
62,1.0,2.0,3.0,-0.0,-0.52,-1.01
63,1.0,2.0,3.0,0.0,-0.52,-1.02
64,1.0,2.0,3.0,0.0,-0.51,-1.02
65,1.0,2.0,3.0,0.0,-0.52,-1.03
66,1.0,2.0,3.0,-0.0,-0.52,-1.02
67,1.0,2.0,3.0,0.0,-0.52,-1.02
68,1.0,2.0,3.0,0.0,-0.52,-1.02
69,1.0,2.0,3.0,-0.0,-0.52,-1.03
70,1.0,2.0,3.0,-0.0,-0.52,-1.02
71,1.0,2.0,3.0,0.0,-0.51,-1.02
72,1.0,2.0,3.0,-0.01,-0.51,-1.02
73,1.0,2.0,3.0,-0.0,-0.51,-1.01
74,1.0,2.0,3.0,0.0,-0.51,-1.02
75,1.0,2.0,3.0,0.0,-0.52,-1.02
76,1.0,2.0,3.0,0.0,-0.52,-1.02
77,1.0,2.0,3.0,0.0,-0.51,-1.03
78,1.0,2.0,3.0,0.0,-0.51,-1.02
79,1.0,2.0,3.0,-0.0,-0.52,-1.01
80,1.0,2.0,3.0,0.0,-0.51,-1.02
81,1.0,2.0,3.0,0.0,-0.52,-1.03
82,1.0,2.0,3.0,0.01,-0.51,-1.02
83,1.0,2.0,3.0,-0.0,-0.52,-1.02
84,1.0,2.0,3.0,-0.0,-0.51,-1.02
85,1.0,2.0,3.0,-0.0,-0.51,-1.02
86,1.0,2.0,3.0,-0.0,-0.52,-1.02
87,1.0,2.0,3.0,-0.0,-0.52,-1.01
88,1.0,2.0,3.0,-0.0,-0.52,-1.02
89,1.0,2.0,3.0,0.0,-0.52,-1.02
90,1.0,2.0,3.0,0.0,-0.52,-1.03
91,1.0,2.0,3.0,0.0,-0.51,-1.02
92,1.0,2.0,3.0,-0.0,-0.52,-1.03
93,1.0,2.0,3.0,0.0,-0.51,-1.02
94,1.0,2.0,3.0,-0.0,-0.51,-1.02
95,1.0,2.0,3.0,-0.01,-0.52,-1.03
96,1.0,2.0,3.0,0.0,-0.51,-1.02
97,1.0,2.0,3.0,-0.0,-0.51,-1.02
98,1.0,2.0,3.0,-0.0,-0.52,-1.01
99,1.0,2.0,3.0,0.01,-0.52,-1.03
100,1.0,2.0,3.0,-0.0,-0.52,-1.02
101,1.0,2.0,3.0,-0.0,-0.52,-1.02
102,1.0,2.0,3.0,-0.01,-0.52,-1.02
103,1.0,2.0,3.0,-0.0,-0.52,-1.02
104,1.0,2.0,3.0,-0.0,-0.51,-1.03
105,1.0,2.0,3.0,0.0,-0.52,-1.03
106,1.0,2.0,3.0,0.0,-0.52,-1.02
107,1.0,2.0,3.0,0.0,-0.51,-1.02
108,1.0,2.0,3.0,-0.0,-0.52,-1.02
109,1.0,2.0,3.0,0.0,-0.52,-1.02
110,1.0,2.0,3.0,-0.0,-0.51,-1.02
111,1.0,2.0,3.0,-0.0,-0.52,-1.02
112,1.0,2.0,3.0,0.0,-0.52,-1.02
113,1.0,2.0,3.0,0.0,-0.52,-1.03
114,1.0,2.0,3.0,0.0,-0.52,-1.03
115,1.0,2.0,3.0,-0.0,-0.52,-1.03
116,1.0,2.0,3.0,0.0,-0.51,-1.02
117,1.0,2.0,3.0,-0.01,-0.52,-1.02
118,1.0,2.0,3.0,0.0,-0.52,-1.01
119,1.0,2.0,3.0,0.0,-0.51,-1.03
120,1.0,2.0,3.0,0.0,-0.52,-1.02
121,1.0,2.0,3.0,0.0,-0.52,-1.02
122,1.0,2.0,3.0,-0.0,-0.52,-1.02
123,1.0,2.0,3.0,0.0,-0.52,-1.02
124,1.0,2.0,3.0,-0.0,-0.52,-1.02
125,1.0,2.0,3.0,0.0,-0.51,-1.02
126,1.0,2.0,3.0,0.0,-0.52,-1.02
127,1.0,2.0,3.0,-0.0,-0.52,-1.02
128,1.0,2.0,3.0,-0.0,-0.52,-1.02
129,1.0,2.0,3.0,-0.0,-0.52,-1.03
130,1.0,2.0,3.0,0.0,-0.52,-1.02
131,1.0,2.0,3.0,0.0,-0.52,-1.02
132,1.0,2.0,3.0,-0.0,-0.51,-1.03
133,1.0,2.0,3.0,0.0,-0.51,-1.01
134,1.0,2.0,3.0,0.0,-0.52,-1.02
135,1.0,2.0,3.0,0.0,-0.52,-1.02
136,1.0,2.0,3.0,-0.0,-0.52,-1.02
137,1.0,2.0,3.0,0.0,-0.52,-1.02
138,1.0,2.0,3.0,-0.0,-0.51,-1.02
139,1.0,2.0,3.0,-0.0,-0.52,-1.03
140,1.0,2.0,3.0,-0.0,-0.52,-1.02
141,1.0,2.0,3.0,0.01,-0.52,-1.02
142,1.0,2.0,3.0,0.0,-0.51,-1.02
143,1.0,2.0,3.0,0.0,-0.51,-1.03
144,1.0,2.0,3.0,0.0,-0.51,-1.01
145,1.0,2.0,3.0,-0.0,-0.52,-1.02
146,1.0,2.0,3.0,0.0,-0.52,-1.02
147,1.0,2.0,3.0,0.0,-0.51,-1.02
148,1.0,2.0,3.0,0.0,-0.52,-1.02
149,1.0,2.0,3.0,0.0,-0.52,-1.01
150,1.0,2.0,3.0,0.0,-0.52,-1.03
151,1.0,2.0,3.0,-0.01,-0.51,-1.02
152,1.0,2.0,3.0,-0.0,-0.51,-1.02
153,1.0,2.0,3.0,0.0,-0.52,-1.03
154,1.0,2.0,3.0,0.01,-0.52,-1.02
155,1.0,2.0,3.0,-0.0,-0.52,-1.02
156,1.0,2.0,3.0,0.0,-0.52,-1.02
157,1.0,2.0,3.0,-0.0,-0.52,-1.02
158,1.0,2.0,3.0,-0.0,-0.52,-1.02
159,1.0,2.0,3.0,-0.01,-0.51,-1.02
160,1.0,2.0,3.0,-0.0,-0.52,-1.02
161,1.0,2.0,3.0,0.0,-0.51,-1.02
162,1.0,2.0,3.0,-0.0,-0.52,-1.02
163,1.0,2.0,3.0,-0.0,-0.51,-1.02
164,1.0,2.0,3.0,-0.01,-0.51,-1.03
165,1.0,2.0,3.0,-0.0,-0.52,-1.03
166,1.0,2.0,3.0,0.0,-0.52,-1.03
167,1.0,2.0,3.0,0.0,-0.52,-1.03
168,1.0,2.0,3.0,0.0,-0.52,-1.02
169,1.0,2.0,3.0,-0.0,-0.51,-1.02
170,1.0,2.0,3.0,0.0,-0.51,-1.03
171,1.0,2.0,3.0,-0.0,-0.51,-1.02
172,1.0,2.0,3.0,0.0,-0.52,-1.01
173,1.0,2.0,3.0,0.0,-0.51,-1.02
174,1.0,2.0,3.0,0.0,-0.52,-1.01
175,1.0,2.0,3.0,-0.0,-0.51,-1.03
176,1.0,2.0,3.0,-0.0,-0.51,-1.03
177,1.0,2.0,3.0,-0.01,-0.51,-1.02
178,1.0,2.0,3.0,0.0,-0.52,-1.02
179,1.0,2.0,3.0,-0.0,-0.52,-1.02
180,1.0,2.0,3.0,-0.0,-0.52,-1.02
181,1.0,2.0,3.0,-0.0,-0.52,-1.03
182,1.0,2.0,3.0,0.0,-0.52,-1.01
183,1.0,2.0,3.0,0.0,-0.52,-1.03
184,1.0,2.0,3.0,-0.0,-0.51,-1.01
185,1.0,2.0,3.0,0.0,-0.51,-1.02
186,1.0,2.0,3.0,-0.0,-0.51,-1.02
187,1.0,2.0,3.0,-0.01,-0.51,-1.03
188,1.0,2.0,3.0,-0.0,-0.51,-1.02
189,1.0,2.0,3.0,0.0,-0.51,-1.02
190,1.0,2.0,3.0,-0.0,-0.53,-1.03
191,1.0,2.0,3.0,0.0,-0.52,-1.01
192,1.0,2.0,3.0,-0.0,-0.52,-1.03
193,1.0,2.0,3.0,0.0,-0.51,-1.02
194,1.0,2.0,3.0,-0.0,-0.51,-1.01
195,1.0,2.0,3.0,0.0,-0.52,-1.02
196,1.0,2.0,3.0,-0.0,-0.51,-1.01
197,1.0,2.0,3.0,0.0,-0.51,-1.03
198,1.0,2.0,3.0,-0.0,-0.52,-1.02
199,1.0,2.0,3.0,0.0,-0.51,-1.03
200,1.0,2.0,3.0,0.0,-0.51,-1.0
201,1.0,2.0,3.0,-0.0,-0.51,-1.02
202,1.0,2.0,3.0,-0.01,-0.52,-1.02
203,1.0,2.0,3.0,-0.0,-0.51,-1.02
204,1.0,2.0,3.0,0.0,-0.52,-1.03
205,1.0,2.0,3.0,0.0,-0.52,-1.02
206,1.0,2.0,3.0,0.0,-0.52,-1.02
207,1.0,2.0,3.0,-0.0,-0.51,-1.03
208,1.0,2.0,3.0,-0.0,-0.52,-1.03
209,1.0,2.0,3.0,-0.0,-0.51,-1.03
210,1.0,2.0,3.0,-0.0,-0.52,-1.02
211,1.0,2.0,3.0,-0.01,-0.51,-1.03
212,1.0,2.0,3.0,0.01,-0.51,-1.01
213,1.0,2.0,3.0,-0.0,-0.52,-1.02
214,1.0,2.0,3.0,0.0,-0.51,-1.02
215,1.0,2.0,3.0,-0.0,-0.52,-1.02
216,1.0,2.0,3.0,-0.01,-0.51,-1.02
217,1.0,2.0,3.0,0.0,-0.52,-1.02
218,1.0,2.0,3.0,0.0,-0.52,-1.01
219,1.0,2.0,3.0,0.0,-0.52,-1.02
220,1.0,2.0,3.0,0.0,-0.51,-1.03
221,1.0,2.0,3.0,0.0,-0.51,-1.02
222,1.0,2.0,3.0,0.0,-0.51,-1.03
223,1.0,2.0,3.0,0.0,-0.51,-1.02
224,1.0,2.0,3.0,0.0,-0.51,-1.01
225,1.0,2.0,3.0,-0.0,-0.51,-1.01
226,1.0,2.0,3.0,-0.0,-0.52,-1.02
227,1.0,2.0,3.0,0.0,-0.52,-1.01
228,1.0,2.0,3.0,-0.0,-0.52,-1.02
229,1.0,2.0,3.0,-0.0,-0.52,-1.02
230,1.0,2.0,3.0,-0.0,-0.51,-1.02
231,1.0,2.0,3.0,-0.0,-0.51,-1.02
232,1.0,2.0,3.0,-0.0,-0.52,-1.03
233,1.0,2.0,3.0,-0.0,-0.51,-1.03
234,1.0,2.0,3.0,-0.0,-0.52,-1.03
235,1.0,2.0,3.0,0.0,-0.52,-1.03
236,1.0,2.0,3.0,-0.0,-0.51,-1.02
237,1.0,2.0,3.0,-0.0,-0.52,-1.03
238,1.0,2.0,3.0,-0.0,-0.52,-1.02
239,1.0,2.0,3.0,0.0,-0.51,-1.01
240,1.0,2.0,3.0,-0.0,-0.52,-1.01
241,1.0,2.0,3.0,0.0,-0.52,-1.03
242,1.0,2.0,3.0,-0.01,-0.52,-1.03
243,1.0,2.0,3.0,0.0,-0.52,-1.02
244,1.0,2.0,3.0,-0.0,-0.51,-1.02
245,1.0,2.0,3.0,0.0,-0.51,-1.02
246,1.0,2.0,3.0,-0.0,-0.52,-1.02
247,1.0,2.0,3.0,0.0,-0.52,-1.02
248,1.0,2.0,3.0,-0.01,-0.52,-1.03
249,1.0,2.0,3.0,0.0,-0.52,-1.02
250,1.0,2.0,3.0,-0.0,-0.51,-1.02
251,1.0,2.0,3.0,-0.01,-0.51,-1.01
252,1.0,2.0,3.0,0.0,-0.51,-1.02
253,1.0,2.0,3.0,0.0,-0.52,-1.03
254,1.0,2.0,3.0,-0.01,-0.52,-1.02
255,1.0,2.0,3.0,-0.0,-0.52,-1.03
256,1.0,2.0,3.0,-0.0,-0.52,-1.01
257,1.0,2.0,3.0,-0.01,-0.51,-1.02
258,1.0,2.0,3.0,0.0,-0.52,-1.03
259,1.0,2.0,3.0,-0.01,-0.51,-1.02
260,1.0,2.0,3.0,-0.0,-0.51,-1.01
261,1.0,2.0,3.0,-0.0,-0.51,-1.03
262,1.0,2.0,3.0,0.0,-0.52,-1.03
263,1.0,2.0,3.0,-0.0,-0.52,-1.02
264,1.0,2.0,3.0,0.0,-0.51,-1.03
265,1.0,2.0,3.0,-0.0,-0.51,-1.03
266,1.0,2.0,3.0,0.0,-0.51,-1.02
267,1.0,2.0,3.0,-0.0,-0.51,-1.03
268,1.0,2.0,3.0,0.0,-0.51,-1.02
269,1.0,2.0,3.0,0.01,-0.51,-1.02
270,1.0,2.0,3.0,0.0,-0.52,-1.02
271,1.0,2.0,3.0,0.0,-0.52,-1.02
272,1.0,2.0,3.0,-0.0,-0.51,-1.02
273,1.0,2.0,3.0,-0.0,-0.52,-1.01
274,1.0,2.0,3.0,0.0,-0.51,-1.03
275,1.0,2.0,3.0,0.0,-0.52,-1.02
276,1.0,2.0,3.0,-0.01,-0.52,-1.02
277,1.0,2.0,3.0,-0.0,-0.52,-1.04
278,1.0,2.0,3.0,-0.01,-0.52,-1.03
279,1.0,2.0,3.0,-0.0,-0.52,-1.02
280,1.0,2.0,3.0,-0.0,-0.52,-1.02
281,1.0,2.0,3.0,0.0,-0.52,-1.02
282,1.0,2.0,3.0,-0.0,-0.52,-1.0
283,1.0,2.0,3.0,-0.0,-0.52,-1.02
284,1.0,2.0,3.0,-0.0,-0.51,-1.02
285,1.0,2.0,3.0,-0.0,-0.52,-1.02
286,1.0,2.0,3.0,-0.0,-0.52,-1.02
287,1.0,2.0,3.0,-0.0,-0.52,-1.01
288,1.0,2.0,3.0,-0.01,-0.51,-1.04
289,1.0,2.0,3.0,-0.0,-0.52,-1.0
290,1.0,2.0,3.0,-0.0,-0.52,-1.03
291,1.0,2.0,3.0,-0.0,-0.52,-1.02
292,1.0,2.0,3.0,0.01,-0.52,-1.01
293,1.0,2.0,3.0,-0.0,-0.52,-1.03
294,1.0,2.0,3.0,0.0,-0.52,-1.01
295,1.0,2.0,3.0,-0.0,-0.52,-1.03
296,1.0,2.0,3.0,0.0,-0.52,-1.02
297,1.0,2.0,3.0,-0.0,-0.52,-1.03
298,1.0,2.0,3.0,0.0,-0.51,-1.02
299,1.0,2.0,3.0,-0.0,-0.51,-1.02
300,1.0,2.0,3.0,0.0,-0.52,-1.02
301,1.0,2.0,3.0,-0.0,-0.52,-1.01
302,1.0,2.0,3.0,0.0,-0.52,-1.02
303,1.0,2.0,3.0,0.0,-0.52,-1.03
304,1.0,2.0,3.0,-0.0,-0.52,-1.01
305,1.0,2.0,3.0,-0.0,-0.51,-1.02
306,1.0,2.0,3.0,0.0,-0.51,-1.02
307,1.0,2.0,3.0,-0.0,-0.51,-1.02
308,1.0,2.0,3.0,0.0,-0.51,-1.01
309,1.0,2.0,3.0,-0.0,-0.52,-1.03
310,1.0,2.0,3.0,-0.0,-0.52,-1.01
311,1.0,2.0,3.0,0.0,-0.52,-1.01
312,1.0,2.0,3.0,0.0,-0.52,-1.02
313,1.0,2.0,3.0,-0.01,-0.51,-1.02
314,1.0,2.0,3.0,-0.01,-0.52,-1.02
315,1.0,2.0,3.0,0.0,-0.51,-1.03
316,1.0,2.0,3.0,-0.01,-0.51,-1.02
317,1.0,2.0,3.0,0.0,-0.52,-1.02
318,1.0,2.0,3.0,0.0,-0.51,-1.03
319,1.0,2.0,3.0,0.0,-0.51,-1.02
320,1.0,2.0,3.0,-0.0,-0.52,-1.01
321,1.0,2.0,3.0,-0.0,-0.51,-1.03
322,1.0,2.0,3.0,0.0,-0.51,-1.01
323,1.0,2.0,3.0,-0.0,-0.51,-1.03
324,1.0,2.0,3.0,0.0,-0.51,-1.02
325,1.0,2.0,3.0,0.0,-0.51,-1.02
326,1.0,2.0,3.0,-0.0,-0.52,-1.01
327,1.0,2.0,3.0,-0.0,-0.52,-1.01
328,1.0,2.0,3.0,0.0,-0.52,-1.02
329,1.0,2.0,3.0,-0.0,-0.52,-1.02
330,1.0,2.0,3.0,0.0,-0.52,-1.02
331,1.0,2.0,3.0,0.0,-0.52,-1.02
332,1.0,2.0,3.0,-0.0,-0.52,-1.03
333,1.0,2.0,3.0,-0.0,-0.52,-1.01
334,1.0,2.0,3.0,0.0,-0.52,-1.04
335,1.0,2.0,3.0,-0.0,-0.51,-1.02
336,1.0,2.0,3.0,-0.0,-0.52,-1.01
337,1.0,2.0,3.0,0.0,-0.52,-1.02
338,1.0,2.0,3.0,0.0,-0.52,-1.03
339,1.0,2.0,3.0,0.0,-0.52,-1.01
340,1.0,2.0,3.0,-0.01,-0.52,-1.03
341,1.0,2.0,3.0,0.01,-0.52,-1.02
342,1.0,2.0,3.0,0.0,-0.52,-1.03
343,1.0,2.0,3.0,0.0,-0.52,-1.01
344,1.0,2.0,3.0,-0.0,-0.51,-1.02
345,1.0,2.0,3.0,-0.01,-0.51,-1.02
346,1.0,2.0,3.0,-0.0,-0.52,-1.01
347,1.0,2.0,3.0,0.0,-0.51,-1.02
348,1.0,2.0,3.0,0.0,-0.52,-1.03
349,1.0,2.0,3.0,0.0,-0.52,-1.02
350,1.0,2.0,3.0,0.0,-0.52,-1.03
351,1.0,2.0,3.0,-0.0,-0.51,-1.02
352,1.0,2.0,3.0,0.0,-0.51,-1.01
353,1.0,2.0,3.0,-0.0,-0.51,-1.02
354,1.0,2.0,3.0,0.01,-0.51,-1.02
355,1.0,2.0,3.0,0.0,-0.51,-1.02
356,1.0,2.0,3.0,-0.01,-0.52,-1.02
357,1.0,2.0,3.0,-0.0,-0.52,-1.02
358,1.0,2.0,3.0,-0.0,-0.52,-1.02
359,1.0,2.0,3.0,-0.0,-0.52,-1.01
360,1.0,2.0,3.0,0.0,-0.52,-1.02
361,1.0,2.0,3.0,0.0,-0.51,-1.03
362,1.0,2.0,3.0,-0.01,-0.51,-1.02
363,1.0,2.0,3.0,0.0,-0.52,-1.03
364,1.0,2.0,3.0,-0.0,-0.51,-1.02
365,1.0,2.0,3.0,-0.0,-0.52,-1.02
366,1.0,2.0,3.0,0.0,-0.52,-1.01
367,1.0,2.0,3.0,0.0,-0.51,-1.02
368,1.0,2.0,3.0,-0.01,-0.51,-1.02
369,1.0,2.0,3.0,-0.01,-0.51,-1.0
370,1.0,2.0,3.0,-0.0,-0.52,-1.02
371,1.0,2.0,3.0,0.0,-0.52,-1.02
372,1.0,2.0,3.0,-0.0,-0.52,-1.03
373,1.0,2.0,3.0,0.01,-0.52,-1.02
374,1.0,2.0,3.0,0.0,-0.51,-1.02
375,1.0,2.0,3.0,0.0,-0.51,-1.02
376,1.0,2.0,3.0,0.0,-0.51,-1.01
377,1.0,2.0,3.0,-0.0,-0.52,-1.03
378,1.0,2.0,3.0,0.0,-0.51,-1.02
379,1.0,2.0,3.0,0.0,-0.51,-1.02
380,1.0,2.0,3.0,-0.01,-0.51,-1.03
381,1.0,2.0,3.0,-0.0,-0.51,-1.02
382,1.0,2.0,3.0,-0.0,-0.51,-1.03
383,1.0,2.0,3.0,0.0,-0.52,-1.02
384,1.0,2.0,3.0,0.0,-0.52,-1.02
385,1.0,2.0,3.0,0.0,-0.52,-1.02
386,1.0,2.0,3.0,0.0,-0.52,-1.02
387,1.0,2.0,3.0,0.0,-0.52,-1.02
388,1.0,2.0,3.0,-0.0,-0.51,-1.02
389,1.0,2.0,3.0,0.0,-0.51,-1.03
390,1.0,2.0,3.0,-0.0,-0.51,-1.03
391,1.0,2.0,3.0,-0.0,-0.51,-1.02
392,1.0,2.0,3.0,-0.0,-0.51,-1.02
393,1.0,2.0,3.0,-0.0,-0.52,-1.02
394,1.0,2.0,3.0,-0.0,-0.52,-1.02
395,1.0,2.0,3.0,0.0,-0.52,-1.03
396,1.0,2.0,3.0,0.0,-0.51,-1.0
397,1.0,2.0,3.0,-0.0,-0.52,-1.04
398,1.0,2.0,3.0,0.01,-0.52,-1.01
399,1.0,2.0,3.0,0.0,-0.52,-1.03
400,1.0,2.0,3.0,0.0,-0.52,-1.03
401,1.0,2.0,3.0,-0.0,-0.51,-1.03
402,1.0,2.0,3.0,-0.0,-0.52,-1.02
403,1.0,2.0,3.0,0.0,-0.51,-1.01
404,1.0,2.0,3.0,0.0,-0.51,-1.03
405,1.0,2.0,3.0,0.0,-0.52,-1.01
406,1.0,2.0,3.0,0.0,-0.52,-1.02
407,1.0,2.0,3.0,0.01,-0.52,-1.03
408,1.0,2.0,3.0,0.0,-0.52,-1.02
409,1.0,2.0,3.0,0.0,-0.52,-1.02
410,1.0,2.0,3.0,-0.0,-0.51,-1.02
411,1.0,2.0,3.0,-0.0,-0.51,-1.02
412,1.0,2.0,3.0,-0.0,-0.51,-1.03
413,1.0,2.0,3.0,0.0,-0.51,-1.03
414,1.0,2.0,3.0,0.0,-0.52,-1.01
415,1.0,2.0,3.0,0.0,-0.52,-1.02
416,1.0,2.0,3.0,0.0,-0.51,-1.03
417,1.0,2.0,3.0,-0.0,-0.51,-1.02
418,1.0,2.0,3.0,-0.0,-0.51,-1.02
419,1.0,2.0,3.0,-0.0,-0.52,-1.03
420,1.0,2.0,3.0,0.0,-0.52,-1.02
421,1.0,2.0,3.0,-0.0,-0.52,-1.01
422,1.0,2.0,3.0,0.0,-0.52,-1.03
423,1.0,2.0,3.0,0.07,-0.53,-1.02
424,1.0,2.0,3.0,-0.01,-0.52,-1.01
425,1.0,2.0,3.0,0.12,-0.53,-1.02
426,1.0,2.0,3.0,0.05,-0.5,-1.0
427,1.0,2.0,3.0,-0.23,-0.51,-1.02
428,1.0,2.0,3.0,-0.05,-0.52,-1.03
429,1.0,2.0,3.0,0.04,-0.51,-1.03
430,1.0,2.0,3.0,0.23,-0.54,-1.02
431,1.0,2.0,3.0,-0.29,-0.41,-1.04
432,1.0,2.0,3.0,-0.13,-0.51,-1.02
433,1.0,2.0,3.0,-0.02,-0.49,-1.08
434,1.0,2.0,3.0,0.01,-0.52,-1.04
435,1.0,2.0,3.0,-0.07,-0.5,-1.02
436,1.0,2.0,3.0,-0.04,-0.5,-1.02
437,1.0,2.0,3.0,-0.05,-0.49,-1.04
438,1.0,2.0,3.0,-0.07,-0.51,-1.04
439,1.0,2.0,3.0,-0.11,-0.51,-1.08
440,1.0,2.0,3.0,-0.15,-0.5,-1.0
441,1.0,2.0,3.0,-0.2,-0.51,-1.01
442,1.0,2.0,3.0,-0.24,-0.52,-0.98
443,1.0,2.0,3.0,-0.3,-0.52,-0.95
444,1.0,2.0,3.0,-0.34,-0.53,-0.91
445,1.0,2.0,3.0,-0.37,-0.54,-0.85
446,1.0,2.0,3.0,-0.35,-0.55,-0.98
447,1.0,2.0,3.0,-0.35,-0.55,-0.91
448,1.0,2.0,3.0,-0.32,-0.52,-0.88
449,1.0,2.0,3.0,-0.26,-0.53,-0.93
450,1.0,2.0,3.0,-0.08,-0.59,-1.07
451,1.0,2.0,3.0,-0.11,-0.5,-1.09
452,1.0,2.0,3.0,-0.06,-0.47,-1.14
453,1.0,2.0,3.0,-0.05,-0.49,-1.02
454,1.0,2.0,3.0,-0.04,-0.51,-1.03
455,1.0,2.0,3.0,-0.03,-0.51,-1.02
456,1.0,2.0,3.0,-0.02,-0.5,-1.02
457,1.0,2.0,3.0,-0.03,-0.51,-1.02
458,1.0,2.0,3.0,0.03,-0.57,-1.04
459,1.0,2.0,3.0,0.06,-0.54,-1.05
460,1.0,2.0,3.0,0.13,-0.5,-1.01
461,1.0,2.0,3.0,0.2,-0.47,-1.04
462,1.0,2.0,3.0,0.24,-0.5,-0.98
463,1.0,2.0,3.0,0.26,-0.53,-1.01
464,1.0,2.0,3.0,0.33,-0.54,-1.0
465,1.0,2.0,3.0,0.39,-0.51,-0.9
466,1.0,2.0,3.0,0.45,-0.53,-0.88
467,1.0,2.0,3.0,0.49,-0.55,-0.86
468,1.0,2.0,3.0,0.51,-0.54,-0.9
469,1.0,2.0,3.0,0.54,-0.54,-0.87
470,1.0,2.0,3.0,0.57,-0.56,-0.91
471,1.0,2.0,3.0,0.61,-0.55,-0.79
472,1.0,2.0,3.0,0.62,-0.55,-0.8
473,1.0,2.0,3.0,0.65,-0.56,-0.76
474,1.0,2.0,3.0,0.65,-0.57,-0.77
475,1.0,2.0,3.0,0.64,-0.56,-0.82
476,1.0,2.0,3.0,0.66,-0.57,-0.78
477,1.0,2.0,3.0,0.65,-0.56,-0.77
478,1.0,2.0,3.0,0.65,-0.56,-0.79
479,1.0,2.0,3.0,0.66,-0.55,-0.76
480,1.0,2.0,3.0,0.66,-0.55,-0.8
481,1.0,2.0,3.0,0.65,-0.56,-0.77
482,1.0,2.0,3.0,0.65,-0.55,-0.78
483,1.0,2.0,3.0,0.66,-0.56,-0.78
484,1.0,2.0,3.0,0.65,-0.56,-0.76
485,1.0,2.0,3.0,0.65,-0.56,-0.79
486,1.0,2.0,3.0,0.65,-0.56,-0.77
487,1.0,2.0,3.0,0.63,-0.57,-0.77
488,1.0,2.0,3.0,0.59,-0.55,-0.77
489,1.0,2.0,3.0,0.52,-0.55,-0.84
490,1.0,2.0,3.0,0.43,-0.53,-1.02
